id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34993265,Habitación privada con terraza preciosa! centro,29416167,Nacho Y Cristian,Centro,Palacio,40.41741,-3.70931,Private room,31,2,14,2020-01-05,1.22,2,365
34993715,Champions League,38373657,Alberto,Hortaleza,Pinar del Rey,40.47039,-3.6473,Entire home/apt,1000,2,0,,,1,89
34993849,8-people apartment in Plaza España!!,252790387,Diego,Moncloa - Aravaca,Argüelles,40.42309,-3.71371,Entire home/apt,300,1,2,2019-06-28,0.18,1,0
34994063,Apartment in Madrid with WIFI,99018982,Alterhome,Salamanca,Recoletos,40.42559,-3.68434,Entire home/apt,44,1,3,2020-03-04,0.29,120,364
34994241,BNBHolder ATOCHA. HUERTAS. LAVAPIES,28786243,Emilio,Centro,Embajadores,40.41104,-3.69689,Entire home/apt,29,1,28,2020-02-04,2.46,68,198
34994390,Precioso apartamento nuevo José Calvo,246214441,Ofelia Nieto,Tetuán,Berruguete,40.45812,-3.70813,Entire home/apt,250,2,0,,,8,77
34994825,Modern and Comfortable Flat in the City Center,121871139,Mike,Centro,Universidad,40.42326,-3.7062,Entire home/apt,90,2,27,2020-03-01,2.48,1,89
34995486,2020 Renovated Trendy Urban Malasaña,263652943,Shmuel,Centro,Universidad,40.42594,-3.70621,Entire home/apt,150,4,20,2020-01-02,1.76,1,179
34996466,Huéspedes para Madrid,3514429,Antonia,Villa de Vallecas,Santa Eugenia,40.38134,-3.60553,Private room,25,1,4,2019-12-08,0.53,1,363
34996598,VERY LUMINOUS DESIGN FLAT IN THE CENTER OF MADRID,141004631,Fabi Y Gustavo,Centro,Embajadores,40.40775,-3.70563,Entire home/apt,50,2,3,2020-02-22,0.36,1,75
34997116,Estudio junto a la Plaza Mayor.,263663365,Maria,Centro,Sol,40.41615,-3.70747,Entire home/apt,60,3,35,2020-03-04,3.05,2,88
34997154,"Incredible triple apartment in Atocha, 3A",107335103,Daniel,Arganzuela,Palos de Moguer,40.40423,-3.69311,Entire home/apt,110,15,68,2020-03-16,5.93,53,187
34998742,FIN DE SEMANA 31 MAYO 1 DE JUNIO,50206543,Carlos,Centro,Palacio,40.41499,-3.71027,Private room,150,1,0,,,1,363
34998874,Newly renovated STUDIO - Lavapiés,6284734,Victor,Centro,Embajadores,40.409,-3.70026,Entire home/apt,123,3,28,2020-03-17,3.26,2,180
34999045,Como en casa,652495,Lina Francisca,Chamartín,Hispanoamérica,40.4526,-3.67193,Entire home/apt,926,1,0,,,1,365
34999207,Lovely 2Bed in heart of Chueca -Madrid City Center,222205450,Lucía Y Daniel,Centro,Justicia,40.42134,-3.69777,Entire home/apt,64,1,25,2020-03-15,2.18,16,324
34999649,Newly renovated & within 20 mins of EVERYTHING!,23578135,Susana,Latina,Campamento,40.39585,-3.7718,Entire home/apt,65,3,24,2020-03-04,2.20,1,293
34999665,Habitación con vistas al Wanda Metropolitano,89545417,Belén,San Blas - Canillejas,Rosas,40.43128,-3.60556,Private room,64,1,13,2020-02-19,1.21,1,364
34999772,Habitación privada en MUY CÉNTRICO APARTAMENTO,10600017,Alberto,Centro,Universidad,40.42132,-3.70173,Private room,120,3,3,2019-12-16,0.26,3,0
34999824,Piso final champions league,160767488,Aaron,San Blas - Canillejas,Canillejas,40.44023,-3.61252,Entire home/apt,2000,2,0,,,1,365
