preco,dormitorios,area,vagas,bairro,tipo
380000,1,51.42,1,JardimBotânico, Apartamento
509000,1,65.73,1,Floresta, Loft
570000,3,134.45,2,Cavalhada, Cobertura
330000,1,53.0,1,ChácaradasPedras, Apartamento
223500,2,54.74,1,MorroSantana, Apartamento
440000,3,70.58,1,Partenon, Apartamento
260000,2,57.063,0,CristoRedentor, Apartamento
630000,3,87.13,1,PassodaAreia, Apartamento
3240374,4,257.6,4,BelaVista, Apartamento
1071940,3,127.35,2,CentralParque, Apartamento
2373312,3,601.13,3,Tristeza, Apartamento
568222,1,41.95,1,BoaVista, Apartamento
581993,1,41.95,1,MontSerrat, Apartamento
334640,0,41.04,1,Independência, Sala
407972,2,60.37,1,Glória, Apartamento
3303911,4,257.6,4,BelaVista, Apartamento
690396,3,135.22,2,RioBranco, Apartamento
426000,1,46.35,1,Petrópolis, Apartamento
1435972,0,124.17,3,Petrópolis, Sala
289000,2,73.1,1,Teresópolis, Apartamento
369000,2,72.05,1,Teresópolis, Apartamento
117800,0,276.17,0,MárioQuintana, Terreno
484000,3,72.69,2,Camaquã, Apartamento
274520,2,57.26,1,Humaitá, Apartamento
1985000,3,184.73,3,MoinhosdeVento, Apartamento
808418,2,73.88,2,Petrópolis, Apartamento
1621300,3,211.03,2,Petrópolis, Apartamento
419000,3,84.0,1,JardimBotânico, Apartamento
458000,2,62.53,1,PassodaAreia, Apartamento
185000,2,48.03,1,JardimItu, Apartamento
290000,3,71.02,1,Cavalhada, Apartamento
365000,3,66.51,1,SantoAntônio, Apartamento
315000,3,71.02,1,Cavalhada, Apartamento
759000,2,86.0,1,TrêsFigueiras, Apartamento
750000,3,240.0,2,Agronomia, Casa
1390000,3,138.79,2,BelaVista, Apartamento
2450000,3,309.0,4,Auxiliadora, Cobertura
599000,2,154.31,2,JardimBotânico, Apartamento
985000,4,452.25,4,Nonoai, Casa
269000,2,77.54,1,BomJesus, Apartamento
870000,3,286.0,2,JardimLindóia, Cobertura
495000,3,69.6,2,MontSerrat, Apartamento
2700000,3,257.8,4,BelaVista, Apartamento
570000,1,45.14,1,Petrópolis, Apartamento
800000,3,207.0,3,Agronomia, Casa
440000,1,37.46,1,TrêsFigueiras, Apartamento
1200000,4,160.0,2,BoaVista, Apartamento
950000,3,105.61,2,BelaVista, Apartamento
646000,3,76.0,2,MeninoDeus, Apartamento
380000,3,75.0,2,CristoRedentor, Apartamento
690000,4,144.0,3,Higienópolis, Cobertura
750000,3,171.6,1,RioBranco, Apartamento
625000,3,125.29,1,BomFim, Apartamento
300000,2,52.18,1,JardimCarvalho, Apartamento
289000,2,61.95,1,Camaquã, Apartamento
250000,2,48.46,1,Glória, Apartamento
1100000,4,136.512,2,Auxiliadora, Apartamento
498000,2,83.0,1,Auxiliadora, Apartamento
875000,3,131.23,1,Petrópolis, Apartamento
1150000,3,161.27,3,Petrópolis, Apartamento
278000,3,62.73,1,SãoSebastião, Apartamento
618000,3,140.0,2,SantaTereza, Casa
695000,3,202.2,2,AltoPetrópolis, Casa
575000,2,66.84,2,Petrópolis, Apartamento
389000,1,66.03,1,Auxiliadora, Apartamento
1680000,3,162.0,2,CentralParque, Apartamento
1280000,3,120.89,2,PassodaAreia, Apartamento
480000,2,59.7,1,SãoJoão, Apartamento
470000,1,57.61,1,MeninoDeus, Apartamento
330000,3,61.5,1,Cristal, Apartamento
425600,2,60.47,1,Azenha, Apartamento
3990000,4,530.0,4,ChácaradasPedras, Casa
395000,3,77.19,1,PassodaAreia, Apartamento
750000,3,115.0,2,BoaVista, Apartamento
650000,3,94.67,1,MeninoDeus, Apartamento
1490000,4,286.89,2,Cristal, Casa
447000,3,109.64,2,Teresópolis, Casa
280000,2,52.66,1,Nonoai, Apartamento
435000,2,68.08,2,JardimBotânico, Apartamento
750000,3,120.24,1,Petrópolis, Apartamento
1805000,4,330.0,6,BelémNovo, Casa
430000,2,67.29,1,Santana, Apartamento
780000,3,101.0,1,MeninoDeus, Apartamento
458000,2,66.0,1,MeninoDeus, Apartamento
359000,3,76.05,1,JardimCarvalho, Apartamento
212000,3,59.89,1,VilaNova, Apartamento
1782000,3,162.0,2,Petrópolis, Apartamento
898000,3,136.15,2,ChácaradasPedras, Apartamento
1290000,3,134.8,2,PassodaAreia, Apartamento
435000,3,84.9,1,Sarandi, Apartamento
1056000,4,176.0,4,JardimBotânico, Apartamento
150000,2,43.36,1,MorroSantana, Apartamento
950000,3,113.0,2,JardimLindóia, Apartamento
1065000,3,105.99,2,PassodaAreia, Apartamento
749000,3,240.79,2,Agronomia, Casa
1495000,3,162.0,3,CentralParque, Apartamento
650000,4,111.0,0,ChácaradasPedras, Apartamento
990000,3,105.61,3,BelaVista, Apartamento
1270000,0,285.1,6,MeninoDeus, Sala
850000,3,336.0,4,PedraRedonda, Casa
315000,3,76.45,1,Sarandi, Casa
1000000,3,288.93,2,ChácaradasPedras, Casa
550000,2,63.9,2,Santana, Apartamento
435000,1,56.89,1,BelaVista, Apartamento
549000,2,157.84,2,JardimLindóia, Cobertura
640000,3,82.22,2,Santana, Apartamento
245000,3,63.11,2,JardimItu, Apartamento
550000,3,98.0,0,BomFim, Apartamento
769000,3,99.616,1,ChácaradasPedras, Apartamento
630000,3,84.03,2,Camaquã, Apartamento
299000,2,69.3,1,Humaitá, Casa
230000,2,55.08,0,PraiadeBelas, Apartamento
389000,3,79.0,0,Auxiliadora, Apartamento
250000,2,49.6,1,Sarandi, Apartamento
440000,1,45.0,1,Azenha, Apartamento
700000,3,83.87,2,PassodaAreia, Apartamento
369000,3,156.0,2,Serraria, Casa
690000,3,90.69,2,Tristeza, Apartamento
698250,3,104.51,2,Cavalhada, Apartamento
629000,3,79.62,2,JardimSabará, Apartamento
360000,1,61.62,1,VilaIpiranga, Apartamento
240000,2,55.81,0,PassodaAreia, Apartamento
298000,3,63.42,1,Sarandi, Apartamento
294000,3,67.98,1,Ipanema, Apartamento
750000,3,87.13,1,PassodaAreia, Apartamento
1600000,3,148.28,3,RioBranco, Apartamento
427000,3,70.58,1,Partenon, Apartamento
650000,3,199.88,2,Nonoai, Casa
355000,3,71.48,1,Sarandi, Apartamento
275000,2,64.42,0,CidadeBaixa, Apartamento
330000,2,59.0,1,VilaNova, Apartamento
630000,3,98.528,1,Santana, Apartamento
690000,4,157.0,2,Sarandi, Casa
710000,3,83.85,2,PassodaAreia, Apartamento
498000,1,48.32,1,Petrópolis, Apartamento
350000,2,64.54,1,JardimCarvalho, Apartamento
680000,3,123.96,2,JardimSabará, Casa
